price,size,lsize,age,bathp,month,poolag,poolig,firep,sager,dagar,car_p,busy_rd,ele
130000,1070,5750,30,4,65,0,0,0,1,0,0,0,0
98500,1474,2570,80,8,52,0,0,0,0,0,0,0,0
225000,2000,3552,80,4,69,0,0,1,0,0,0,0,0
148000,1470,6000,6,7,71,0,0,0,1,0,0,0,1
118000,1180,5475,6,4,55,0,0,0,1,0,0,0,1
137000,1548,8600,17,6,50,0,0,1,1,0,0,0,1
138000,1092,6000,18,6,67,0,0,0,0,0,0,0,0
123000,1000,5450,14,4,52,0,0,1,0,0,0,0,0
155500,1645,2865,63,6,60,0,0,1,0,0,0,0,0
137500,1227,9953,18,6,52,0,0,1,1,0,0,0,0
115000,1254,2966,19,5,65,0,0,0,0,0,0,0,0
103500,1240,3419,12,4,51,0,0,0,0,0,0,0,0
101000,1050,3300,17,7,55,0,0,1,0,0,0,0,0
104000,900,4316,16,4,55,0,0,0,0,0,0,0,0
102000,1100,8436,6,6,52,0,0,1,1,0,0,0,1
143500,1250,5830,6,7,54,0,0,1,1,0,0,0,0
110000,1005,2860,7,4,65,0,0,0,0,0,0,0,1
117500,1050,3570,3,7,66,0,0,0,0,0,0,0,1
106000,1078,3000,1,7,50,0,0,1,1,0,0,0,1
97600,1000,2860,7,7,58,0,0,0,0,0,0,0,1
110000,1050,3575,7,4,63,0,0,0,0,0,0,0,1
107000,1040,4399,9,6,62,0,0,0,0,0,0,0,0
115000,1450,3000,11,6,56,0,0,0,1,0,0,1,0
119000,1468,3300,12,9,63,0,0,0,0,0,0,1,0
127000,1111,6490,33,4,57,0,0,0,0,0,0,0,0
120800,1800,3859,14,4,63,0,0,1,0,0,0,0,0
100000,1080,8075,14,8,52,0,0,0,0,0,0,0,0
104000,1100,4500,11,4,53,0,0,0,1,0,0,0,0
92000,1454,3424,88,4,66,0,0,0,0,0,0,0,0
84000,1280,2725,80,4,60,0,0,0,0,0,0,0,0
115000,930,6400,17,7,62,0,0,1,0,0,0,0,0
106000,1300,7913,80,3,64,0,0,0,0,0,0,0,0
230000,1681,36000,29,4,67,0,0,1,1,0,0,0,0
225000,1900,7500,29,8,71,0,1,1,0,0,0,0,0
167000,1530,4180,1,9,68,0,0,1,0,1,0,0,0
103500,1120,5841,18,4,51,0,0,0,0,0,1,0,0
170000,2016,10438,60,8,53,0,0,1,0,0,0,0,0
124000,925,10462,40,4,64,0,0,0,0,0,0,1,0
137000,1070,8100,28,6,66,0,0,0,0,0,0,0,0
91000,1234,3102,80,6,52,0,0,0,0,0,0,0,0
90000,1300,3400,80,3,55,0,0,0,0,0,0,1,0
121000,1200,2424,80,3,68,0,0,1,0,0,0,1,0
182000,2010,5600,54,4,64,0,0,1,0,0,0,0,0
159000,1500,6312,100,6,65,0,0,1,0,0,0,0,0
113000,1100,4870,80,4,64,0,0,0,0,0,0,0,0
120200,1600,1675,80,8,51,0,0,0,0,0,0,0,0
118000,1100,2600,100,3,58,0,0,1,0,0,0,0,0
84000,1050,2171,80,4,68,0,0,0,0,0,0,0,0
84000,1050,2171,80,4,68,0,0,0,0,0,0,0,0
107000,960,6160,50,4,52,0,0,1,0,0,0,0,0
113000,1100,1722,50,4,59,0,0,1,1,0,0,0,0
124500,1100,5223,1,7,58,0,0,1,1,0,0,0,0
163200,1630,10936,80,4,71,0,0,1,0,0,0,0,0
131300,1636,3234,80,6,67,0,0,0,0,0,0,0,0
95000,1200,3630,50,4,64,0,0,1,0,0,0,0,0
116900,930,3675,0,4,65,0,0,0,0,0,0,0,1
100000,1150,3900,24,4,52,0,0,0,0,0,0,0,0
137000,1064,7200,34,7,64,0,0,0,0,0,0,0,0
118000,1000,6720,32,8,57,0,0,0,0,0,0,0,0
122000,1100,10988,33,4,66,0,0,0,0,0,0,0,0
144900,1560,6956,1,8,55,0,0,1,0,1,0,0,0
72000,1150,4577,40,4,55,0,0,0,0,0,0,0,0
116500,1347,4550,45,4,68,0,0,0,0,0,0,0,0
114500,940,3960,41,4,64,0,0,0,1,0,0,0,0
120900,1420,6000,15,6,61,0,0,1,0,0,0,0,0
128900,1060,5594,18,6,67,0,0,0,0,0,0,0,0
116000,1385,11642,82,8,53,0,0,0,0,0,0,0,0
109500,1110,7440,80,4,51,0,0,1,0,0,0,1,0
91000,960,3300,60,3,55,0,0,0,0,0,0,1,0
118500,1200,4108,11,6,59,0,0,1,1,0,0,1,0
131000,1510,6050,1,9,52,0,0,1,1,0,0,1,0
163000,1204,5735,1,7,69,0,0,1,1,0,0,1,1
138900,1250,5565,0,6,61,0,0,1,1,0,0,1,1
135000,927,6750,28,7,72,0,0,1,0,0,0,1,0
150000,1510,6050,2,6,64,0,0,1,1,0,0,1,0
132000,1078,3420,3,6,65,0,0,1,1,0,0,1,1
92000,1000,6600,30,4,56,0,0,0,0,0,0,0,0
124000,1000,6600,30,7,65,0,0,0,0,0,0,0,0
133900,1075,6360,27,7,63,0,0,0,0,0,0,0,0
130000,930,5500,80,7,66,0,0,1,1,0,0,0,1
102000,972,2907,60,7,66,0,0,0,0,0,0,1,0
